company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised
Katerra,"SF Bay Area",Construction,2434,1,2021-06-01,Unknown,"United States",1600
"Butler Hospitality","New York City",Food,1000,1,2022-07-08,"Series B","United States",50
Redbox,Chicago,Media,1000,1,2024-07-10,Acquired,"United States",51
Bitwise,"SF Bay Area",Crypto,900,1,2023-06-14,"Series B","United States",84
Zulily,Seattle,Retail,839,1,2023-12-08,Acquired,"United States",194
Deliv,"SF Bay Area",Retail,669,1,2020-05-13,"Series C","United States",80
Convoy,Seattle,Logistics,500,1,2023-10-19,"Series E","United States",1100
Eaze,"SF Bay Area",Consumer,500,1,2024-10-07,"Series D","United States",202
Jump,"New York City",Transportation,500,1,2020-05-07,Acquired,"United States",11
Milkrun,Sydney,Food,400,1,2023-04-11,"Series A",Australia,86
SEND,Sydney,Food,300,1,2022-05-04,Seed,Australia,3
HOOQ,Singapore,Consumer,250,1,2020-03-27,Unknown,Singapore,95
Stoqo,Jakarta,Food,250,1,2020-04-25,"Series A",Indonesia,NULL
"Moxion Power","SF Bay Area",Energy,248,1,2024-07-29,Unknown,"United States",124
"Stay Alfred",Spokane,Travel,221,1,2020-05-20,"Series B","United States",62
Britishvolt,London,Transportation,206,1,2023-01-17,Unknown,"United Kingdom",2400
Forward,"SF Bay Area",Healthcare,200,1,2024-11-12,"Series E","United States",325
Frontdesk,Milwaukee,Travel,200,1,2024-01-02,Unknown,"United States",26
Planetly,Berlin,Other,200,1,2022-11-04,Acquired,Germany,5
"Cue Health","San Diego",Healthcare,180,1,2024-05-22,Post-IPO,"United States",899
Crejo.Fun,Bengaluru,Education,170,1,2022-06-30,Seed,India,3
Drizly,Boston,Retail,168,1,2024-02-05,Acquired,"United States",119
"Bridge Connector",Nashville,Healthcare,154,1,2020-11-17,"Series B","United States",45
"Project Ronin","SF Bay Area",Healthcare,150,1,2024-03-01,Unknown,"United States",NULL
"Simple Feast",Copenhagen,Food,150,1,2022-09-07,Unknown,Denmark,173
ZestMoney,Bengaluru,Finance,150,1,2023-12-05,"Series C",India,120
Care/of,"New York City",Healthcare,143,1,2024-06-15,Acquired,"United States",83
Reali,"SF Bay Area","Real Estate",140,1,2022-08-24,"Series B","United States",117
Bluprint,Denver,Education,137,1,2020-05-26,Acquired,"United States",108
"Tome Biosciences",Boston,Healthcare,131,1,2024-08-26,"Series A","United States",213
"Deliveroo Australia",Melbourne,Food,120,1,2022-11-15,Post-IPO,Australia,1700
Soluto,"Tel Aviv",Support,120,1,2022-07-24,Acquired,Israel,18
Assurance,Seattle,Finance,112,1,2024-05-01,Acquired,"United States",NULL
SummerBio,"SF Bay Area",Healthcare,101,1,2022-06-20,Unknown,"United States",7
"EMX Digital","New York City",Marketing,100,1,2023-02-13,Unknown,"United States",NULL
"Fifth Season",Pittsburgh,Food,100,1,2022-10-28,"Series B","United States",35
"Ghost Autonomy","SF Bay Area",Transportation,100,1,2024-04-03,"Series E","United States",247
"Kitty Hawk","SF Bay Area",Aerospace,100,1,2022-09-21,Unknown,"United States",1
"Phantom Auto","SF Bay Area",Transportation,100,1,2024-03-12,Unknown,"United States",86
Udayy,Gurugram,Education,100,1,2022-06-01,Seed,India,2
"Arkane Studios",Austin,Consumer,96,1,2024-05-08,Unknown,"United States",NULL
"Scribe Media",Austin,Marketing,90,1,2023-05-04,Unknown,"United States",NULL
"Buy.com / Rakuten","SF Bay Area",Retail,87,1,2020-07-30,Acquired,"United States",42
WanderJaunt,"SF Bay Area",Travel,85,1,2022-07-01,"Series B","United States",26
Ejento,"SF Bay Area",Recruiting,84,1,2020-03-19,Unknown,"United States",NULL
Openpay,Melbourne,Finance,83,1,2023-02-07,Post-IPO,Australia,299
Trendsales,Copenhagen,Retail,79,1,2024-04-08,Acquired,Denmark,NULL
Metigy,Sydney,Marketing,75,1,2022-07-31,"Series B",Australia,18
Dealtale,"Tel Aviv",Sales,70,1,2023-08-09,Acquired,"United States",2
BeyondMinds,"Tel Aviv",Data,65,1,2022-05-23,"Series A",Israel,16
Playdots,"New York City",Consumer,65,1,2022-10-13,Acquired,"United States",10
Dropp,Berlin,Retail,60,1,2023-02-14,Unknown,Germany,2
ON,"SF Bay Area",Retail,60,1,2024-07-16,Unknown,"United States",81
Protocol,"SF Bay Area",Media,60,1,2022-11-15,Acquired,"United States",NULL
CodeClan,Edinburgh,Education,57,1,2023-08-04,Seed,"United Kingdom",NULL
DeepVerge,Dublin,Healthcare,50,1,2023-07-12,Post-IPO,Ireland,20
Hubba,Toronto,Retail,45,1,2021-02-01,"Series B",Canada,61
Ahead,"SF Bay Area",Healthcare,44,1,2022-04-14,Unknown,"United States",9
"The Grommet",Boston,Retail,40,1,2022-06-09,Acquired,"United States",5
"Humble Games","SF Bay Area",Media,36,1,2024-07-23,Acquired,"United States",4
Medsaf,Lagos,Healthcare,30,1,2023-07-07,Unknown,Nigeria,NULL
Glisser,London,Travel,25,1,2023-01-26,Unknown,"United Kingdom",1
Pocketmath,Singapore,Marketing,21,1,2021-01-20,Unknown,Singapore,20
Eatsy,Singapore,Food,20,1,2020-08-08,Seed,Singapore,1
Amplero,Seattle,Marketing,17,1,2020-03-29,"Series B","United States",25
Avocargo,Berlin,Transportation,16,1,2023-04-06,Seed,Germany,NULL
Help.com,Austin,Support,16,1,2020-03-16,Seed,"United States",6
Consider.co,"SF Bay Area",Other,13,1,2020-03-26,Seed,"United States",5
Limelight,"New York City",Recruiting,13,1,2021-02-04,Unknown,"United States",NULL
Deadspin,"New York City",Media,11,1,2024-03-11,Acquired,"United States",NULL
Dotscience,London,Product,10,1,2020-05-19,Unknown,"United Kingdom",NULL
Atsu,Seattle,Infrastructure,6,1,2020-04-10,Unknown,"United States",1
Dark,"SF Bay Area",Product,6,1,2020-06-23,Seed,"United States",3
TutorMundi,"Sao Paulo",Education,4,1,2020-04-24,"Series A",Brazil,2
Airlift,Lahore,Logistics,NULL,1,2022-07-12,"Series B",Pakistan,109
"Airy Rooms",Jakarta,Travel,NULL,1,2020-05-07,Unknown,Indonesia,NULL
Akudo,Bengaluru,Finance,NULL,1,2023-09-20,Seed,India,4
"ALI Technologies",Tokyo,Transportation,NULL,1,2024-01-16,Unknown,Japan,NULL
Anar,Mumbai,Marketing,NULL,1,2023-11-25,Seed,India,6
AppHarvest,Lexington,Food,NULL,1,2023-07-24,Post-IPO,"United States",692
"Arch Oncology",Brisbane,Healthcare,NULL,1,2023-01-13,"Series C","United States",155
Artifact,"SF Bay Area",Media,NULL,1,2024-01-12,Unknown,"United States",NULL
Assure,"Salt Lake City",Finance,NULL,1,2022-11-23,Seed,"United States",2
"Astrate Medical",Philadelphia,Healthcare,NULL,1,2024-02-05,"Series A","United States",13
"Aura Financial","SF Bay Area",Finance,NULL,1,2021-01-11,Unknown,"United States",584
Automatic,"SF Bay Area",Transportation,NULL,1,2020-05-01,Acquired,"United States",24
Awok,Dubai,Retail,NULL,1,2020-09-02,"Series A","United Arab Emirates",30
"Belora Paris",Gurugram,Retail,NULL,1,2023-10-18,Seed,India,NULL
Bitfront,"SF Bay Area",Crypto,NULL,1,2022-11-29,Unknown,"United States",NULL
BlockFi,"New York City",Crypto,NULL,1,2022-11-28,"Series E","United States",1000
Blueboard,"SF Bay Area",HR,NULL,1,2024-03-15,"Series A","United States",16
Bluelearn,Bengaluru,Education,NULL,1,2024-07-22,Seed,India,4
Bluepad,Bengaluru,Media,NULL,1,2023-04-13,Seed,India,NULL
"Bowery Farming","New York City",Food,NULL,1,2024-11-01,Unknown,"United States",626
Braid,"SF Bay Area",Finance,NULL,1,2023-10-09,Unknown,"United States",NULL
Brilliant,"SF Bay Area",Hardware,NULL,1,2024-05-08,"Series B","United States",64
Brodmann17,"Tel Aviv",Other,NULL,1,2022-12-09,"Series A",Israel,25
"Bundle Africa",Lagos,Crypto,NULL,1,2023-07-21,Seed,Nigeria,1
Bunnii,"New York City",Healthcare,NULL,1,2023-06-06,Unknown,"United States",NULL
Buzzer,"New York City",Consumer,NULL,1,2023-06-30,"Series A","United States",24
"Cake Bikes",Stockholm,Transportation,NULL,1,2024-02-02,Unknown,Sweden,74
Cana,"SF Bay Area",Food,NULL,1,2023-05-13,Unknown,"United States",30
CapWay,Atlanta,Finance,NULL,1,2024-10-17,Unknown,"United States",NULL
Catch,"New York City",Finance,NULL,1,2023-03-07,"Series A","United States",18
Clockwork,Dallas,Crypto,NULL,1,2023-08-28,Seed,"United States",4
CodeSee,"SF Bay Area",Data,NULL,1,2024-02-15,Seed,"United States",10
CoLab,Sydney,Food,NULL,1,2023-04-18,Seed,Australia,3
Collage.com,Detroit,Retail,NULL,1,2022-10-09,Acquired,"United States",NULL
CommonBond,"New York City",Finance,NULL,1,2022-09-09,"Series D","United States",125
ComplYant,"Los Angeles",Finance,NULL,1,2024-04-29,Seed,"United States",6
ConnectedH,Gurugram,Healthcare,NULL,1,2023-08-02,Seed,India,2
Cova,Lagos,Finance,NULL,1,2024-01-25,Unknown,Nigeria,NULL
Curalie,Berlin,Healthcare,NULL,1,2023-12-14,Unknown,Germany,NULL
D2iQ,"SF Bay Area",Infrastructure,NULL,1,2023-12-08,"Series D","United States",247
Dash,"New York City",Finance,NULL,1,2023-10-06,Unknown,"United States",86
