date,SUM(total_laid_off)
2023-01-04,16171
2024-08-01,15180
2022-11-16,14926
2023-01-20,14682
2024-04-15,14000
2022-11-09,12774
2023-01-18,11987
2024-01-23,10376
2023-03-14,10270
2023-01-30,9754
2023-02-24,9169
2023-03-20,9000
2023-04-24,8800
2023-02-06,7259
2023-01-25,6480
2024-03-25,6000
2020-05-18,5802
2024-08-09,5769
2023-01-31,4973
2023-01-01,4800
2022-10-24,4748
2020-07-30,4462
2022-11-04,4379
2024-02-14,4269
2022-10-26,4167
2024-05-16,4090
2020-05-06,4030
2023-11-27,3965
2024-01-30,3854
2023-05-04,3570
2024-06-10,3545
2024-04-29,3501
2023-05-16,3465
2024-07-03,3400
2023-02-09,3322
2024-01-08,3303
2023-07-06,3252
2023-01-26,3246
2024-01-03,3160
2022-03-08,3100
2022-11-30,3095
2022-05-10,3040
2020-04-13,3037
2020-05-05,3031
2022-10-12,2930
2023-02-17,2929
2020-04-07,2861
2024-07-10,2800
2022-02-08,2800
2023-02-02,2779
2022-10-06,2711
2023-03-22,2680
2022-07-08,2656
2020-03-27,2603
2024-01-10,2564
2023-08-22,2500
2021-06-01,2434
2023-01-10,2416
2024-01-25,2397
2023-03-21,2353
2023-02-07,2222
2022-11-03,2210
2022-06-14,2199
2023-03-29,2183
2020-05-20,2173
2020-04-21,2143
2024-02-16,2120
2020-04-02,2110
2024-06-06,2090
2023-01-19,2053
2022-11-10,2030
2022-11-14,2027
2022-12-07,2021
2021-11-02,2000
2023-02-13,1996
2020-06-16,1974
2022-08-09,1970
2022-11-18,1962
2020-05-04,1932
2022-11-07,1890
2021-01-21,1877
2023-03-01,1864
2023-06-20,1837
2024-11-07,1824
2020-04-28,1820
2021-01-27,1820
2022-06-09,1817
2021-08-05,1800
2021-01-06,1800
2022-07-12,1795
2023-03-06,1790
2020-06-01,1774
2020-04-03,1764
2022-08-31,1760
2020-04-09,1754
2023-01-24,1683
2020-04-29,1670
2023-12-04,1658
2024-01-19,1650
2023-01-11,1646
2023-08-08,1624
2024-09-23,1600
2024-02-26,1570
2022-07-19,1544
2020-04-15,1543
2023-10-12,1514
